,Location,subdomain,technology,Main_Domain_Server_Response
277,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",meetups.shopify.com,"['Varnish', 'Datadome', 'Nginx', 'HSTS']",
283,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",supporthiring.shopify.com,"['Shopify', 'HTTP/3', 'HSTS', 'Google Font API', 'Cloudflare Network Error Logging', 'Cloudflare']",
297,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",budget.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
299,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",search.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
301,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",supportapp.shopify.com,"['HTTP/3', 'HSTS', 'React', 'Cloudflare Network Error Logging', 'Cloudflare']",
301,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",support.shopify.com,"['HTTP/3', 'HSTS', 'React', 'Cloudflare Network Error Logging', 'Cloudflare']",
303,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",mobile.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
307,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",chat.shopify.com,"['HTTP/3', 'HSTS', 'React', 'Cloudflare Network Error Logging', 'Cloudflare']",
307,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",livechat.shopify.com,"['HTTP/3', 'HSTS', 'React', 'Cloudflare Network Error Logging', 'Cloudflare']",
363,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",unitestore.shopify.com,"['Shopify', 'HTTP/3', 'HSTS', 'Google Font API', 'Cloudflare Network Error Logging', 'Cloudflare']",
365,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",pay.shopify.com,"['HTTP/3', 'Ruby on Rails', 'hCaptcha', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
365,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",remember-me.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
367,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",qr.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'HSTS']",
369,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",www.burst.shopify.com,"['HTTP/3', 'Ruby on Rails', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
371,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",burst.shopify.com,"['HTTP/3', 'Ruby on Rails', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
373,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",accounts.shopify.com,"['HTTP/3', 'Ruby on Rails', 'HSTS', 'Stimulus', 'Cloudflare Network Error Logging', 'Cloudflare']",
375,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",contracts.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
377,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",pointofsale.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
379,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",themes.shopify.com,"['Shopify', 'HTTP/3', 'Google Tag Manager', 'Ruby on Rails', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
381,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",portal.shopify.com,"['Shopify', 'HTTP/3', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
383,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",app-store-staging.shopify.com,['HSTS'],
385,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",people-analytics.data.shopify.com,"['Google QUIC', 'HTTP/3', 'HSTS', 'OpenGSE']",
387,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",experts.shopify.com,"['HTTP/3', 'Ruby on Rails', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
387,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",partners.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
